DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2019-11-23 10:45:00,Water Ride,32.234417,Validation
2022-01-03 16:45:00,Pirate Ship,33.741184,Validation
2021-12-04 15:30:00,Pirate Ship,35.23739,Validation
2020-02-05 13:15:00,Water Ride,17.002783,Validation
2022-05-13 15:15:00,Flying Coaster,19.918047,Validation
2020-01-04 10:00:00,Pirate Ship,49.83216,Validation
2020-10-03 14:00:00,Water Ride,22.998613,Validation
2021-06-26 10:45:00,Flying Coaster,27.852419,Validation
2018-11-11 19:30:00,Flying Coaster,6.5279994,Validation
2018-10-10 14:15:00,Flying Coaster,17.93923,Validation
2019-04-22 19:15:00,Water Ride,15.198088,Validation
2019-07-03 11:45:00,Water Ride,23.31651,Validation
2020-10-07 13:45:00,Flying Coaster,10.017125,Validation
2022-07-17 12:30:00,Water Ride,25.208582,Validation
2022-05-05 16:45:00,Pirate Ship,38.083775,Validation
2020-03-08 12:45:00,Water Ride,28.414953,Validation
2018-10-06 16:30:00,Pirate Ship,47.453743,Validation
2022-06-05 15:00:00,Flying Coaster,30.815435,Validation
2019-09-29 17:15:00,Flying Coaster,6.676734,Validation
2019-09-06 18:30:00,Flying Coaster,15.88717,Validation
2021-06-20 09:45:00,Water Ride,20.594662,Validation
2022-03-01 10:15:00,Pirate Ship,29.513062,Validation
2019-09-29 10:30:00,Flying Coaster,28.586031,Validation
2022-05-05 16:45:00,Flying Coaster,13.957417,Validation
2019-01-21 11:00:00,Flying Coaster,15.564719,Validation
2020-02-26 13:45:00,Water Ride,29.395937,Validation
2019-03-22 17:15:00,Water Ride,15.330207,Validation
2022-07-17 19:45:00,Pirate Ship,21.697773,Validation
2021-09-07 10:15:00,Flying Coaster,10.917284,Validation
2021-11-01 13:15:00,Flying Coaster,42.756138,Validation
2022-05-02 19:15:00,Flying Coaster,6.5047693,Validation
2021-09-15 16:00:00,Flying Coaster,10.592291,Validation
2021-07-15 11:30:00,Pirate Ship,21.54012,Validation
2020-02-29 17:15:00,Water Ride,18.567898,Validation
2021-11-22 12:00:00,Flying Coaster,18.600988,Validation
2019-03-18 17:30:00,Flying Coaster,8.896199,Validation
2021-08-22 18:30:00,Flying Coaster,3.9633484,Validation
2019-08-31 20:45:00,Flying Coaster,10.968778,Validation
2019-12-31 15:30:00,Pirate Ship,27.368744,Validation
2020-08-17 12:45:00,Water Ride,22.666317,Validation
2021-08-20 16:00:00,Flying Coaster,15.159169,Validation
2021-09-05 14:45:00,Water Ride,27.399326,Validation
2020-08-02 18:00:00,Pirate Ship,12.387609,Validation
2019-12-24 14:15:00,Water Ride,31.275465,Validation
2020-02-26 16:15:00,Pirate Ship,32.174107,Validation
2020-01-14 15:45:00,Pirate Ship,26.629799,Validation
2021-08-16 14:30:00,Pirate Ship,32.486137,Validation
2018-10-07 11:30:00,Flying Coaster,37.476696,Validation
2019-12-18 11:15:00,Pirate Ship,29.058445,Validation
2022-02-23 13:15:00,Pirate Ship,40.315987,Validation
2021-08-20 10:45:00,Flying Coaster,15.662917,Validation
2021-11-10 13:45:00,Flying Coaster,15.908166,Validation
2019-05-27 14:15:00,Water Ride,18.784674,Validation
2022-03-18 13:30:00,Pirate Ship,41.874847,Validation
2022-03-30 16:30:00,Pirate Ship,36.1595,Validation
2022-05-14 10:15:00,Flying Coaster,27.794022,Validation
2022-07-23 20:00:00,Flying Coaster,5.4562726,Validation
2021-07-01 17:45:00,Flying Coaster,13.373568,Validation
2020-03-01 11:15:00,Water Ride,30.016825,Validation
2021-11-04 12:45:00,Water Ride,22.78867,Validation
2021-09-17 09:45:00,Pirate Ship,17.947432,Validation
2021-12-01 17:00:00,Flying Coaster,8.237889,Validation
2021-12-30 14:00:00,Water Ride,36.47286,Validation
2019-07-29 16:15:00,Water Ride,26.534348,Validation
2021-10-30 16:45:00,Pirate Ship,28.328394,Validation
2022-03-11 16:30:00,Flying Coaster,6.8309216,Validation
2020-09-20 13:30:00,Flying Coaster,24.395046,Validation
2022-02-21 09:15:00,Pirate Ship,30.192339,Validation
2022-01-30 15:45:00,Pirate Ship,37.883545,Validation
2021-12-15 09:30:00,Pirate Ship,31.1032,Validation
2021-08-01 18:15:00,Pirate Ship,18.510035,Validation
2021-07-26 15:15:00,Flying Coaster,8.445423,Validation
2019-10-17 12:45:00,Flying Coaster,10.992943,Validation
2020-07-20 14:30:00,Water Ride,22.639238,Validation
2021-09-14 15:30:00,Water Ride,16.366585,Validation
2020-01-07 13:00:00,Flying Coaster,17.232716,Validation
2021-10-05 14:15:00,Pirate Ship,11.529483,Validation
2022-08-01 11:00:00,Pirate Ship,33.82196,Validation
2021-08-27 16:30:00,Water Ride,28.59559,Validation
2021-12-08 15:45:00,Water Ride,28.0773,Validation
2019-02-05 15:00:00,Flying Coaster,13.766418,Validation
2018-12-06 15:45:00,Flying Coaster,9.43718,Validation
2022-06-24 16:15:00,Water Ride,26.761742,Validation
2019-10-08 16:30:00,Flying Coaster,6.8316026,Validation
2021-10-10 18:15:00,Water Ride,14.637777,Validation
2021-08-22 18:30:00,Water Ride,16.212631,Validation
2020-02-09 16:30:00,Water Ride,21.612604,Validation
2022-06-24 19:30:00,Flying Coaster,6.1634784,Validation
2022-01-09 18:00:00,Pirate Ship,18.85321,Validation
2022-03-18 17:00:00,Flying Coaster,12.1198435,Validation
2021-08-23 14:15:00,Flying Coaster,22.832954,Validation
2022-05-28 14:30:00,Flying Coaster,36.392082,Validation
2018-10-21 18:00:00,Flying Coaster,18.36535,Validation
2021-10-26 13:00:00,Pirate Ship,28.506514,Validation
2021-12-01 10:45:00,Pirate Ship,33.402607,Validation
2021-12-19 10:30:00,Pirate Ship,30.560568,Validation
2020-08-04 13:15:00,Water Ride,21.00373,Validation
2021-10-18 14:00:00,Flying Coaster,31.195911,Validation
2022-08-16 20:45:00,Flying Coaster,6.179058,Validation
2019-04-02 10:15:00,Water Ride,19.941807,Validation
2019-01-27 11:45:00,Water Ride,32.027958,Validation
2020-10-17 12:30:00,Pirate Ship,26.81542,Validation
2022-06-04 17:30:00,Flying Coaster,12.930273,Validation
2020-02-11 16:15:00,Flying Coaster,9.570175,Validation
2019-11-04 15:30:00,Flying Coaster,4.8218803,Validation
2019-01-28 12:30:00,Flying Coaster,13.642724,Validation
2022-05-25 15:45:00,Flying Coaster,19.012325,Validation
2019-05-16 10:00:00,Water Ride,15.816508,Validation
2020-08-14 12:15:00,Pirate Ship,30.708881,Validation
2022-03-03 15:45:00,Pirate Ship,35.310833,Validation
2019-10-13 17:15:00,Water Ride,23.707277,Validation
2020-08-06 09:30:00,Flying Coaster,16.681787,Validation
2021-10-16 15:00:00,Pirate Ship,35.34785,Validation
2018-10-06 12:30:00,Water Ride,33.071373,Validation
2021-12-08 11:45:00,Flying Coaster,28.509594,Validation
2022-06-07 14:00:00,Flying Coaster,36.209007,Validation
2022-03-27 14:30:00,Water Ride,35.22075,Validation
2021-10-11 14:45:00,Pirate Ship,20.949993,Validation
2020-02-24 16:00:00,Pirate Ship,33.589462,Validation
2018-12-12 13:30:00,Flying Coaster,14.093974,Validation
2019-10-14 11:15:00,Flying Coaster,18.602621,Validation
2021-08-19 18:45:00,Pirate Ship,23.359238,Validation
2021-10-12 16:15:00,Water Ride,31.917778,Validation
2019-03-07 15:00:00,Flying Coaster,28.999022,Validation
2021-10-15 14:00:00,Flying Coaster,12.130305,Validation
2019-10-13 13:00:00,Water Ride,24.548298,Validation
2021-09-14 13:15:00,Water Ride,17.627897,Validation
2018-12-11 16:00:00,Flying Coaster,12.228039,Validation
2019-04-09 17:15:00,Flying Coaster,15.447326,Validation
2019-07-30 18:00:00,Water Ride,17.094778,Validation
2022-04-14 10:45:00,Pirate Ship,43.42072,Validation
