ENTITY_DESCRIPTION_SHORT_2;ADJUST_CAPACITY_2;DOWNTIME_2;CURRENT_WAIT_TIME_2
0;0.323685589;0;0.129032258
0;0.323685589;0;0.193548387
1;0.368197946;0;0.225806452
1;0.301562283;0;0.096774194
1;0.198785243;0;0.096774194
0.5;0.229877457;0;0.032258065
0;0.323685589;0;0.096774194
0;0.323685589;0;0.096774194
0;0.323685589;0;0.129032258
1;0.193138153;0;0.193548387
0.5;1.000007672;0;0.161290323
1;0.153608522;0;0.064516129
0;0.293789229;0;0.096774194
0.5;1.000007672;0;0.064516129
1;0.402080486;0;0.096774194
1;0.198785243;0;0.096774194
1;0.065513917;0;0.032258065
0;0.323685589;0;0.161290323
0.5;1.000007672;0;0.258064516
0;0.293789229;0;0.193548387
0;0.323685589;0;0.129032258
0.5;1.000007672;0;0.193548387
0.5;1.000007672;0;0.161290323
0.5;1.000007672;0;0.258064516
0;0.323685589;0;0.225806452
0.5;1.000007672;0;0.032258065
0;0.323685589;0;0.225806452
0.5;0.83258806;0;0.032258065
0.5;1.000007672;0;0.129032258
0.5;1.000007672;0;0.096774194
1;0.176196883;0;0.129032258
0.5;1.000007672;0;0.225806452
1;0.327538897;0;0.387096774
0;0.323685589;0;0.258064516
0;0.323685589;0;0.225806452
1;0.390786306;0;0.193548387
0.5;0.732136293;0.285714286;0.161290323
1;0.368197946;0;0.258064516
0;0.148648384;0.571428571;0.032258065
1;0.368197946;0;0.193548387
1;0.198785243;0;0.35483871
0.5;0.83258806;0;0.096774194
1;0.402080486;0;0.161290323
0.5;1.000007672;0;0.032258065
0.5;1.000007672;0;0.387096774
0;0.293789229;0;0.193548387
0.5;1.000007672;0;0.096774194
0;0.323685589;0;0.193548387
0.5;1.000007672;0;0.096774194
0.5;1.000007672;0;0.161290323
0.5;1.000007672;0;0.096774194
0.5;0.062457845;1;0
0;0.323685589;0;0.064516129
1;0.227020694;0;0.129032258
0.5;1.000007672;0;0.032258065
1;0.323021225;0;0.161290323
0;0.293789229;0;0.161290323
0;0.323685589;0;0.290322581
1;0.374974454;0;0.258064516
1;0.282362176;0;0.129032258
1;0.283491594;0;0.129032258
0.5;1.000007672;0;0.096774194
0;0.323685589;0;0.129032258
0.5;1.000007672;0;0.032258065
0;0.323685589;0;0.193548387
0;0.025386359;0;0.129032258
0.5;0.757249235;0.214285714;0.129032258
1;0.042172567;0;0.064516129
1;0.193138153;0;0.161290323
1;0.283491594;0;0.193548387
0;0.323685589;0;0.193548387
0;0.26389287;0;0.032258065
0.5;1.000007672;0;0.193548387
0.5;1.000007672;0;0.161290323
1;0.283491594;0;0.387096774
0.5;1.000007672;0;0.064516129
0;0.323685589;0;0.129032258
0.5;1.000007672;0;0.161290323
0.5;1.000007672;0;0.258064516
1;0.198785243;0;0.161290323
0;0.323685589;0;0.129032258
0;0.323685589;0;0.290322581
0.5;1.000007672;0;0.193548387
0.5;1.000007672;0;0.032258065
0;0.258046471;0.214285714;0
1;0.396433396;0;0.193548387
0.5;1.000007672;0;0.032258065
1;0.175820853;0;0.096774194
0;0.26389287;0;0.032258065
0;0.323685589;0;0.032258065
0.5;1.000007672;0;0.193548387
1;0.249609054;0;0.096774194
1;0.402080486;0;0.258064516
0.5;1.000007672;0;0.161290323
0;0.323685589;0;0
0.5;1.000007672;0;0.096774194
1;0.396433396;0;0.290322581
1;0.188996511;0;0.193548387
0;0.323685589;0;0.129032258
